1,Leslie Knope,"Good morning, everyone."
2,Leslie Knope,A couple of announcements.
3,Leslie Knope,"As we all know, Ron is recovering from his hernia surgery."
4,Leslie Knope,So I got him flowers from all of us.
5,Leslie Knope,"So everybody needs to pitch in, like, 90 dollars."
6,April Ludgate,90 dollars?
7,Leslie Knope,"Yes, because I ordered a beautiful bouquet of daffodils, from a website, after a few glasses of wine."
8,Leslie Knope,"So, Tom, I think you might be getting some daffodils, too."
9,Leslie Knope,"Donna, you're definitely getting some."
10,Leslie Knope,Jerry?
11,Leslie Knope,I don't know.
12,Leslie Knope,I'm not sure.
13,Leslie Knope,Time will tell.
14,Leslie Knope,"Also, I'm leaving early tonight because I am a judge in the Miss Pawnee Beauty Pageant."
15,Tom Haverford,"Whoa, whoa, whoa."
16,Tom Haverford,You get to be a judge in that thing?
17,Leslie Knope,"Yes, and it's a responsibility I take very seriously."
18,Tom Haverford,But I want to be a judge.
19,April Ludgate,I can't believe you like beauty pageants.
20,Leslie Knope,"April, whoever Miss Pawnee is, is gonna be the representative of womanhood in our town."
21,Leslie Knope,"And as a judge, let me assure you that this year's Miss Pawnee will be chosen for her talent and poise."
22,Tom Haverford,Whoa.
23,Tom Haverford,The girls from Talent and Poise gonna be there?
24,Leslie Knope,What?
25,Tom Haverford,Talent and Poise.
26,Tom Haverford,It's the strip club by the VA hospital.
27,Tom Haverford,I have some meetings there.
28,Leslie Knope,That's disgusting.
29,Tom Haverford,No.
30,Tom Haverford,What's disgusting is the Glitter Factory.
31,Tom Haverford,Do not go to the Glitter Factory.
32,April Ludgate,Hey!
33,Leslie Knope,Hey!
34,April Ludgate,"So, I was just at The Grind and I thought you might want an iced mocha with extra, extra whipped cream."
35,Leslie Knope,"Oh, my."
36,Leslie Knope,"Thank you so much, April."
37,Leslie Knope,Wow!
38,April Ludgate,You're welcome.
39,April Ludgate,"Oh, by the way, completely unrelated, I just signed up for the Miss Pawnee Beauty Pageant."
40,Leslie Knope,That's wonderful.
41,Leslie Knope,"You know, that is why I decided to become a judge."
42,Leslie Knope,"So that awesome girls like you, who are not, you know, classically hot, can be rewarded for their intelligence and savvy."
43,April Ludgate,Beauty pageants are idiotic.
44,April Ludgate,But I found out that the winner of the Miss Pawnee Pageant gets 600 dollars.
45,April Ludgate,I can be idiotic for 600 dollars.
46,April Ludgate,"So, are you gonna vote for me, sister?"
47,Leslie Knope,"April, it's unethical for me to show you favoritism."
48,Leslie Knope,You and I are like family.
49,April Ludgate,The coffee is 7 dollars.
50,Leslie Knope,Yes.
51,Leslie Knope,Right.
52,Leslie Knope,Of course.
53,Tom Haverford,Just bump that clown.
54,Tom Haverford,Tell them they already have another Asian judge.
55,Tom Haverford,Awesome.
56,Tom Haverford,"Thank you so much, I owe you."
57,Tom Haverford,All right.
58,Tom Haverford,Peace.
59,Tom Haverford,Guess who's also gonna be a judge in the beauty pageant?
60,Leslie Knope,What?
61,Leslie Knope,How?
62,Tom Haverford,I know a guy.
63,Tom Haverford,I had to call in a few favors.
64,Tom Haverford,"But if you don't call in favors to look at women in bikinis and assign them numerical grades, what the hell do you call in favors for?"
65,Leslie Knope,Hey.
66,Dave Sanderson,Hey.
67,Leslie Knope,Hey.
68,Dave Sanderson,Hey.
69,Leslie Knope,What you doing in these parts?
70,Dave Sanderson,I just came by to see the murals.
71,Dave Sanderson,This one's pretty amazing.
72,Leslie Knope,"Yeah, this one's a beauty."
73,Leslie Knope,"You know, in the 1880s, there were a few years that were pretty rough and tumble in Pawnee."
74,Leslie Knope,"This depicts kind of a famous fight between Reverend Bradley and Anna Beth Stevenson, a widowed mother of seven."
75,Leslie Knope,"The original title of this was ""A Lively Fisting."""
76,Leslie Knope,"But you know, they had to change it for obvious reasons."
77,Dave Sanderson,She's got him by the hair pretty good there.
78,Leslie Knope,Yeah.
79,Dave Sanderson,"Leslie's really cool, and she's smart."
80,Dave Sanderson,It's a little intimidating.
81,Dave Sanderson,"To tell you the truth, I didn't come here to look at the murals."
82,Dave Sanderson,I came to ask her on a date.
83,Dave Sanderson,"Hey, Leslie, I really like you."
84,Dave Sanderson,"And I was wondering if maybe you'd want to get a cup of coffee or something, sometime."
85,Leslie Knope,"Okay, yeah, sure."
86,Dave Sanderson,Yeah?
87,Leslie Knope,Yeah.
88,Leslie Knope,Absolutely.
89,Leslie Knope,Let me check my schedule.
90,Dave Sanderson,Okay.
91,Leslie Knope,Let's see.
92,Dave Sanderson,Is that your grandma?
93,Leslie Knope,Yeah.
94,Leslie Knope,That's Madeleine Albright.
95,Dave Sanderson,That's her name?
96,Dave Sanderson,"Cause I usually just call mine ""Nana."""
97,Leslie Knope,"No, that's Madeleine Albright."
98,Leslie Knope,The first female Secretary of State.
99,Dave Sanderson,"Okay, so, not-- That's not your grandma, then."
100,Dave Sanderson,All right.
101,Dave Sanderson,I got it.
102,Dave Sanderson,How's that schedule looking?
103,Leslie Knope,"Good, a couple days are free."
104,Leslie Knope,"Maybe we could just, you know"
105,Dave Sanderson,Just lock it in later?
106,Leslie Knope,Yeah.
107,Dave Sanderson,Talk later about it?
108,Leslie Knope,Yeah.
109,Leslie Knope,That's a good idea.
110,Dave Sanderson,Okay.
111,Dave Sanderson,Ladies.
112,Leslie Knope,You want to hear something awful?
113,Leslie Knope,He didn't even know who Madeleine Albright was.
114,Ann Perkins,Who?
115,Leslie Knope,"Not you, too."
116,Leslie Knope,"Madeleine Albright, the first female Secretary of State."
117,Ann Perkins,"No, no, no."
118,Ann Perkins,Who didn't know?
119,Leslie Knope,"Oh, Dave."
120,Leslie Knope,That cop that I met.
121,Leslie Knope,I don't know.
122,Leslie Knope,I just don't know if I can date someone who doesn't share my interests.
123,Leslie Knope,"I mean, could you date someone who doesn't love giving vaccinations?"
124,Ann Perkins,I've never dated anyone who loves giving vaccinations.
125,Mark Brendanawicz,Hey.
126,Ann Perkins,Hey.
127,Ann Perkins,Weird question for you.
128,Ann Perkins,Are you handy?
129,Ann Perkins,"Like, can you fix things?"
130,Mark Brendanawicz,"Well, what's broken?"
131,Ann Perkins,My shower.
132,Ann Perkins,"It's leaky, low pressure, just all around terrible."
133,Mark Brendanawicz,Easy.
134,Mark Brendanawicz,You want me to come over after work?
135,Ann Perkins,Yes.
136,Ann Perkins,Yes.
137,Ann Perkins,Amazing.
138,Ann Perkins,"I will cook you a cheap, quick dinner that will be no trouble at all for me."
139,Mark Brendanawicz,Great.
140,Mark Brendanawicz,"Well, I'll see you tonight, for the weirdest second date ever."
141,Ann Perkins,Okay.
142,Leslie Knope,"Hello, fellow judges."
143,Leslie Knope,"I am Judge Leslie Knope and this is my colleague, Tom Haverford."
144,Leslie Knope,He's also gonna be a judge.
145,Jessica Wicks,Hi.
146,Jessica Wicks,"Jessica Wicks, Miss Pawnee 1994."
147,Tom Haverford,I recognized you right away.
148,Tom Haverford,And may I say that you look even more beautiful now than you did when you won the crown.
149,Jessica Wicks,"Ooh, I like you!"
150,Ray Holstead,Hello.
151,Ray Holstead,"Ray Holstead, Ray's Sandwich Place."
152,Leslie Knope,"Yes, of course, Ray."
153,Leslie Knope,How do you do?
154,Ray Holstead,Fine.
155,Charles Woliner,I'm Charles Woliner.
156,Charles Woliner,I've judged every Miss Pawnee Pageant for the last 30 years.
157,Charles Woliner,I made Jessica.
158,Leslie Knope,"Well, Tom and I are very happy to be here."
159,Leslie Knope,"And I'm sure between the five of us, we will choose the most well-rounded, intelligent, modern and forward thinking woman to represent our fine town."
160,Leslie Knope,"Right, Tom?"
161,Leslie Knope,Tom?
162,Tom Haverford,You don't believe me?
163,Tom Haverford,Watch.
164,Tom Haverford,"34C, 36B, 34B, 34D. 32A? How did you get in here?"
165,Tom Haverford,I'm just kidding.
166,Tom Haverford,"You're perfect, each and every one of you."
167,Tom Haverford,God bless.
168,Announcer,"Here they are, your candidates for Miss Pawnee."
169,Announcer,"Well, let's meet the girls, shall we?"
170,Announcer,"First up, please welcome April Ludgate."
171,April Ludgate,"Hello, I'm April Ludgate."
172,April Ludgate,I'm 20 years old.
173,April Ludgate,"I like people, places and things!"
174,April Ludgate,And Pawnee is my favorite place in the world!
175,Announcer,"Next up, please welcome Susan Gleever."
176,Susan Gleever,"Hi, everyone."
177,Susan Gleever,I'm Susan.
178,Susan Gleever,"I'm a history major at Indiana State, I play classical piano, and I volunteer at the Children's Hospital."
179,Announcer,"Thank you, Susan."
180,Leslie Knope,She's good.
181,Announcer,"Next, Trish lanetta."
182,Trish Ianetta,"Hi, y'all."
183,Trish Ianetta,I'm Trish.
184,Trish Ianetta,"I'm 22 years old, I've been on YouTube."
185,Trish Ianetta,"I just I love to hang out with my friends, I love to laugh, I love the summertime and going to the beach, and I love wearing bikinis at the beach with everyone there."
186,Trish Ianetta,I just want everyone--
187,Leslie Knope,"Well, you know, they can't all be winners."
188,Trish Ianetta,Are y'all having a good time?
189,Tom Haverford,"Looks like we got a frontrunner, guys!"
190,Announcer,"And now it's time for our ever popular talent competition, where our ladies will each demonstrate their excellent skills."
191,Tom Haverford,"Here we have Leslie's custom scorecard, with categories such as, presentation, intelligence, knowledge of ""herstory"", fruitful gestures, je ne sais quoi, and something called ""The Naomi Wolf Factor."""
192,Announcer,"And our first one up is Trish lanetta, whose talent is baton."
193,Tom Haverford,My girl Trish is talented.
194,Leslie Knope,She's not even twirling the baton.
195,April Ludgate,I'm going to do impressions.
196,Announcer,"Oh, celebrity impressions."
197,Announcer,That's wild.
198,Announcer,Wild stuff.
199,April Ludgate,Yep.
200,April Ludgate,This is an impression of my sister.
201,April Ludgate,"Hi, I'm Natalie."
202,April Ludgate,I love Ritalin and have low self-esteem.
203,April Ludgate,Thank you.
204,April Ludgate,"This is an impression of my boss, Leslie Knope."
205,April Ludgate,Women should do everything.
206,April Ludgate,Check out my four color pen.
207,April Ludgate,"Hey, everybody."
208,April Ludgate,Listen up while I talk about some really important stuff.
209,April Ludgate,"Parks, parks, parks, parks, parks, parks, Michelle Obama, parks."
210,April Ludgate,"Gay penguins, parks, sugar, parks."
211,Leslie Knope,She got me.
212,Leslie Knope,She got me good.
213,Leslie Knope,She got
214,Extra,"Ooh It's so good, it's so good It's so good, it's so good, it's so good"
215,Tom Haverford,I'm texting Trish to tell her how good she did earlier.
216,Leslie Knope,"No, Susan isn't a perfect 10."
217,Leslie Knope,"But in my mind, Susan is the perfect Miss Pawnee."
218,Leslie Knope,"Her values are strong, her commitment to her job is very admirable, she has a real sense of‰€_"
219,Leslie Knope,"Hey, hey!"
220,Leslie Knope,Over here.
221,Ann Perkins,How's it going in here?
222,Mark Brendanawicz,Good.
223,Mark Brendanawicz,I hooked your toilet up to your shower.
224,Mark Brendanawicz,"That's what you wanted, right?"
225,Ann Perkins,Yes.
226,Mark Brendanawicz,Excellent.
227,Ann Perkins,Was that Andy?
228,Ann Perkins,Andy?
229,Ann Perkins,I know you're in there because I can see you through the screen.
230,Andy Dwyer,Ann!
231,Andy Dwyer,Hey!
232,Andy Dwyer,What's up?
233,Andy Dwyer,What are you doing?
234,Ann Perkins,Do you live down here?
235,Andy Dwyer,What?
236,Andy Dwyer,What?
237,Andy Dwyer,Yes.
238,Ann Perkins,"Oh, my God."
239,Ann Perkins,"Oh, my God, you live down here."
240,Ann Perkins,"Oh, my God."
241,Ann Perkins,I can't believe this is happening!
242,Ann Perkins,What?
243,Ann Perkins,I can't be at my house and see my exboyfriend living in a hole in my backyard like a gopher.
244,Ann Perkins,"That's so weird, Andy."
245,Andy Dwyer,"Listen, I have been trying really hard not to bother you."
246,Andy Dwyer,"Like, when you had that barbecue last week, I didn't come up, even though it smelled so good."
247,Ann Perkins,You've been here a whole week?
248,Andy Dwyer,Yes.
249,Andy Dwyer,One week only.
250,Ann Perkins,"Oh, I guess I guess that's the office you were telling me about that you go to work to every day."
251,Ann Perkins,Excellent.
252,Andy Dwyer,Listen.
253,Andy Dwyer,Are we gonna talk about anything other than the lies that I told you?
254,Ann Perkins,I can't do this right now.
255,Ann Perkins,I have a guy fixing my bathroom.
256,Ann Perkins,I got to go.
257,Andy Dwyer,"Yeah, that's cool."
258,Andy Dwyer,"I got to zoom out, too, 'cause I have some people coming over."
259,Andy Dwyer,"So, why don't you call first next time?"
260,Andy Dwyer,You know the way out.
261,Announcer,"All right, it's time now for the dreaded Q&A."
262,Announcer,And the first question goes to Tom Haverford.
263,Tom Haverford,"Yes, I have a question for the hot one."
264,Tom Haverford,"First off, I just want to say I'm a little bit surprised, because I didn't think angels could fly so low."
265,Trish Ianetta,Thank you.
266,Tom Haverford,"You truly are a beautiful, beautiful woman."
267,Trish Ianetta,You're so funny.
268,Tom Haverford,You're funny.
269,Tom Haverford,You're funny.
270,Announcer,"Do you have a question, Tom?"
271,Leslie Knope,"Okay, I have a real question, if you don't mind, Tom."
272,Leslie Knope,"Trish, Alexis de Tocqueville called America ""The Great Experiment."""
273,Leslie Knope,What can we do as citizens to improve on that experiment?
274,Trish Ianetta,"Well, uh, I think that America is the land of the free, which is a wonderful thing, and also the brave, where people can live, and no one can ever take that away from you and it never gives up."
275,Trish Ianetta,But the high birthing rate of immigrants frightens me.
276,Trish Ianetta,"No offense to anyone out there, but if it were up to me and my family, I would actually call it ""Ourmerica,"" and not ""Theirmerica."""
277,Trish Ianetta,Thank you.
278,Leslie Knope,Don't applaud that.
279,Leslie Knope,"No, she didn't-- She didn't answer my question."
280,Ann Perkins,"I'm sorry, you don't think it's weird that my exboyfriend lives in a tent in the pit outside my house?"
281,Mark Brendanawicz,It's not ideal.
282,Mark Brendanawicz,Maybe you should try to relax.
